id,cluster
14047,20
376660,11
16608,179
20345,170
63831,4
18320,83
11929,47
11934,82
1440,128
8923,19
308639,129
203,19
2117,83
1623,27
11978,4
97365,3
49047,66
8337,98
10236,43
417678,46
10312,7
412202,4
10722,164
4538,120
2609,175
10150,58
58,189
293670,31
2270,241
22954,96
371638,7
14359,68
1548,7
5488,23
1645,15
170,62
9322,141
364051,96
346364,177
9833,41
209276,4
1830,15
635,170
2977,43
401,23
336050,8
994,38
64720,42
458,23
14447,142
156022,100
6537,59
13382,32
35690,108
332283,160
45094,108
46829,7
12105,182
22527,52
19833,175
8428,56
168,213
259693,170
861,18
1714,99
329805,43
51497,100
9078,32
11687,180
80184,101
759,211
11050,216
11576,228
157370,41
13001,140
254172,4
9587,3
15067,228
1265,119
9473,130
421,219
217993,138
9603,65
213121,21
270400,4
14306,202
25793,54
4176,35
2055,34
14748,19
504,64
1643,154
10536,168
10986,175
38810,4
429191,4
12143,19
573,238
15283,102
5548,123
556803,36
2323,67
10501,69
293,108
197950,81
259954,36
345920,43
509,23
8053,52
2832,101
15588,171
206563,15
8844,241
1538,103
72113,7
10673,53
1555,23
44826,119
2277,104
7340,17
409,74
267,41
4232,106
37136,97
13012,173
317557,71
51876,190
476,19
11446,120
79707,102
10528,227
788,29
10403,129
60308,67
9576,188
1443,43
624,39
399366,31
11093,4
152584,48
74306,7
7350,124
212778,105
328387,94
2355,113
245891,181
1574,129
236735,167
172106,67
62204,39
268,138
6615,23
11393,67
23168,15
82881,142
19123,94
657,209
8088,46
941,171
9540,59
3293,20
10975,179
12092,182
10009,95
68722,4
8963,167
157832,4
8438,15
473,35
8470,225
12877,38
11647,176
445,35
10653,127
1678,62
285,189
258230,5
10601,241
390497,110
8329,106
59,15
112949,36
177677,209
2567,20
11527,45
40807,11
49948,32
14412,47
11893,141
1572,144
10634,105
10648,173
10141,97
17612,154
11177,4
1730,1
11815,137
5916,81
333352,14
449992,81
8879,34
396371,40
147773,11
279229,121
11533,241
11337,23
1621,175
72570,43
34584,187
508,23
364689,69
297,68
50348,15
38684,46
487670,235
483,204
1259,154
10948,37
979,107
10559,66
8393,148
472734,7
22536,59
14292,67
1271,226
42297,50
116745,219
369972,83
6023,43
203801,228
378,97
17443,161
931,59
198663,215
5176,34
365942,44
429200,73
6479,215
257211,175
11971,23
430447,102
13885,49
4032,7
297725,196
1485,0
440161,7
10102,109
37724,209
1997,119
711,108
1024,46
31906,41
68730,96
1807,19
21588,55
8469,109
8092,4
454652,83
23483,227
58574,179
239563,11
1073,47
9905,0
4104,120
612,72
424488,14
883,7
11257,43
9741,203
1367,124
12614,211
1103,98
13320,36
4012,4
82684,67
11509,25
70160,199
7972,15
1694,137
12889,196
2054,114
11561,194
9787,110
455207,23
5919,141
10712,124
251,115
283552,43
336000,4
569547,190
6418,43
11219,149
978,122
9829,117
12560,11
14299,96
28384,211
527435,80
761,175
102899,111
321741,20
365045,95
336843,197
8619,14
48034,7
127517,42
651,14
609,172
4836,225
860,91
241,73
241771,43
10625,112
9837,69
1164,113
345938,113
13785,175
290250,233
11153,205
236,23
82693,77
1985,35
418680,83
10868,54
615,4
324560,101
10083,72
17917,114
8363,112
2668,1
5279,47
10142,26
363676,83
9316,141
36950,20
103332,63
2742,19
10223,0
3053,232
302401,40
14139,91
4727,175
252822,168
102651,241
659,30
9675,23
203819,20
103731,4
9994,142
10514,91
39486,20
10217,4
10830,206
4512,110
11004,7
25508,59
200085,174
370755,23
396263,235
23169,3
90,191
11287,7
9769,46
11176,61
22302,64
607,143
12159,115
936,97
401898,43
181808,220
10340,32
1900,15
291270,23
4552,68
546,53
10531,35
116149,61
1089,100
37495,129
9502,69
393519,49
43923,118
927,157
300671,158
1715,4
9281,33
557,189
6471,175
8072,99
84199,65
384677,188
12144,95
10476,50
468,24
339984,24
9696,164
256962,8
10753,81
423646,19
2769,211
11447,4
33613,116
11973,167
1924,220
7304,117
351339,169
8408,137
11165,30
44115,85
64685,53
398,40
10867,4
402897,175
68924,4
14637,42
9746,96
160588,120
8764,175
55931,235
332872,46
9434,84
15255,81
395993,4
369883,202
19265,36
354859,126
156700,118
11336,62
526,189
9542,151
11636,117
28053,7
228970,20
1165,113
397538,28
11454,78
446354,83
310307,83
24253,173
11826,73
6968,117
